Scale,Description,Value,Meaning
S_HRA_HBP,Whether the user has high blood pressure,1,User has high blood pressure
S_HRA_LBP,Whether the user has low BP,1,User has low BP
S_HRA_THYR,Whether the user has thyroid problems,1,User has hypothyroidism
S_HRA_THYR,Whether the user has thyroid problems,2,User has hyperthyroidism
S_HRA_EPILEPSY,Whether the user has epilepsy,1,User has epilepsy
S_HRA_BONE,Whether the user has musculoskeletal disorders,1,User has musculoskeletal disorders
S_HRA_JOINTS,Whether the user has arthritis,1,User has arthritis
S_HRA_OSTEO,Whether the user has osteoporosis,1,User has osteoporosis
S_HRA_NECK,Whether the user has neck pain,1,User has neck pain
S_HRA_JOINT,Whether the user has joint pain,1,User has joint pain
S_HRA_FIBRO,Whether the user has fibromyalgia,1,User has fibromyalgia
S_HRA_HEAD,Whether the user has headaches/migraines,1,User has headaches
S_HRA_HEAD,Whether the user has headaches/migraines,2,User has migraines
S_HRA_SLEEP,Whether the user has sleep problems,1,User has sleep problems
S_HRA_DEP,Whether the user has depression,1,User has depression
S_HRA_ANX,Whether the user has anxiety,1,User has anxiety
S_HRA_PANIC,Whether the user has panic attacks,1,User has panic attacks
S_HRA_EDEMA,Whether the user has edema,1,User has edema
S_HRA_CUSHING,Whether the user has Cushing's syndrome,1,User has Cushing's syndrome
S_HRA_D,Whether the user has vitamin D deficiency,1,User has vitamin D deficiency
S_HRA_OVARY,Whether the user has polycystic ovaries,1,User has polycystic ovaries
S_HRA_VARI,Whether the user has varicose veins,1,User has varicose veins
S_HRA_ENDO,Whether the user has endometriosis,1,User has endometriosis
S_HRA_HORM,Whether the user’s  hormones are out of balance,1,User’s  hormones are out of balance
S_SMOKING,Whether the user is a smoker,1,User recently quit smoking
S_SMOKING,Whether the user is a smoker,2,User is a smoker
S_HRA_PMS,Whether the user has PMS,1,User has PMS
S_HRA_HEAVY,Whether the user has heavy periods,1,User has heavy periods
S_HRA_IRR,Whether the user has irregular periods,1,User has irregular periods
S_HRA_PERPAIN,Whether the user has painful periods,1,User has painful periods
S_HRA_SUGAR,Whether the user has high blood sugar,1,User has high blood sugar
S_HRA_COLDS,Whether the user has frequent colds,1,User has frequent colds
S_HRA_ANEMIA,Whether the user has anemia,1,User has anemia
S_HRA_BIPOLAR,Whether the user is bipolar,1,User is bipolar
S_HRA_OCD,Whether the user has OCD,1,User has OCD
S_HRA_POST,Whether the user has PTSD,1,User has PTSD
S_HRA_SKIN,Whether the user has skin problems,2,User has rosacea
S_HRA_SKIN,Whether the user has skin problems,3,User has psoriasis
S_HRA_SKIN,Whether the user has skin problems,1,User has ecsema
S_HRA_VIT,Whether the user takes vitamins/nootropics,1,User takes vitamins/nootropics
S_HRA_VIT,Whether the user takes vitamins/nootropics,3,User doesn’t take vitamins/nootropics
S_HRA_ALC,How much alcohol the user consumes on a regular basis,1,User drinks a lot of alcohol
S_HRA_ALC,How much alcohol the user consumes on a regular basis,2,User doesn’t drink alcohol
S_HRA_ALC,How much alcohol the user consumes on a regular basis,3,User drinks little alcohol
S_HRA_ALC,How much alcohol the user consumes on a regular basis,4,User drinks an average amount of alcohol
S_DIABETES,An assessment of the user’s chances of developing Type 2 Diabetes based on their lifestyle and habits. Based on research by Finnish Diabetes Association,1,1% chance of developing Type 2 diabetes
S_DIABETES,An assessment of the user’s chances of developing Type 2 Diabetes based on their lifestyle and habits. Based on research by Finnish Diabetes Association,2,4% chance of developing Type 2 diabetes
S_DIABETES,An assessment of the user’s chances of developing Type 2 Diabetes based on their lifestyle and habits. Based on research by Finnish Diabetes Association,3,15% chance of developing Type 2 diabetes
S_DIABETES,An assessment of the user’s chances of developing Type 2 Diabetes based on their lifestyle and habits. Based on research by Finnish Diabetes Association,4,30% chance of developing Type 2 diabetes
S_DIABETES,An assessment of the user’s chances of developing Type 2 Diabetes based on their lifestyle and habits. Based on research by Finnish Diabetes Association,5,50% chance of developing Type 2 diabetes
S_DIAB_REASON1,Whether the user’s waist circumference is within the norm,1,Waist circumference is within the norm
S_DIAB_REASON2,Whether the user is active enough,1,Is active enough
S_DIAB_REASON3,Whether the user eats healthy,1,Eats healthy
S_DIAB_REASON4,Whether the user has BP problems,1,No BP problems
S_DIAB_REASON5,Whether the user’s blood sugar is within the norm when taking the test,1,Blood sugar is within the norm when taking the test
S_DIAB_REASON6,Whether the user has a family history of diabetes,1,No family history of diabetes
